上海电信,#genre#
商丘2公共频道,http://171.8.168.153:8800/rtp/239.16.10.168:2000
商丘3文体科教,http://171.8.168.153:8800/rtp/239.16.10.169:2000
嘉佳卡通,http://171.8.168.153:8800/rtp/239.16.10.118:2000
四川卫视,http://171.8.168.153:8800/rtp/239.16.20.86:10860
四川卫视,http://171.8.168.153:8800/rtp/239.16.10.20:2000
国学频道,http://171.8.168.153:8800/rtp/239.16.20.232:12320
国学频道,http://171.8.168.153:8800/rtp/239.16.20.242:12420
国学频道,http://171.8.168.153:8800/rtp/239.16.10.217:2000
大剧院,http://171.8.168.153:8800/rtp/239.16.20.29:10290
大剧院,http://171.8.168.153:8800/rtp/239.16.20.217:12170
大美河南,http://171.8.168.153:8800/rtp/239.16.20.17:10170
大美河南,http://171.8.168.153:8800/rtp/239.16.20.243:12430
大象新闻,http://171.8.168.153:8800/rtp/239.16.20.216:12160
大象新闻,http://171.8.168.153:8800/rtp/239.16.10.192:2000
天元围棋,http://171.8.168.153:8800/rtp/239.16.20.126:11260
天津卫视,http://171.8.168.153:8800/rtp/239.16.20.96:10960
天津卫视,http://171.8.168.153:8800/rtp/239.16.10.30:2000
央广购物,http://171.8.168.153:8800/rtp/239.16.20.203:12030
央广购物,http://171.8.168.153:8800/rtp/239.16.10.208:2000
孟津综合,http://171.8.168.153:8800/rtp/239.16.20.192:11920
宁夏卫视,http://171.8.168.153:8800/rtp/239.16.20.92:10920
宁夏卫视,http://171.8.168.153:8800/rtp/239.16.10.26:2000
安徽卫视,http://171.8.168.153:8800/rtp/239.16.20.75:10750
安徽卫视,http://171.8.168.153:8800/rtp/239.16.10.9:2000
安阳新闻综合,http://171.8.168.153:8800/rtp/239.16.20.144:11440
安阳科教,http://171.8.168.153:8800/rtp/239.16.20.193:11930
宜阳综合,http://171.8.168.153:8800/rtp/239.16.20.206:12060
宝丰-1,http://171.8.168.153:8800/rtp/239.16.20.209:12090
宝丰TV-1,http://171.8.168.153:8800/rtp/239.16.20.63:10630
家有购物,http://171.8.168.153:8800/rtp/239.16.10.75:2000
封丘1新闻综合,http://171.8.168.153:8800/rtp/239.16.20.19:10190
山东卫视,http://171.8.168.153:8800/rtp/239.16.20.80:10800
山东卫视,http://171.8.168.153:8800/rtp/239.16.10.14:2000
山西优购物,http://171.8.168.153:8800/rtp/239.16.20.200:12000
山西卫视,http://171.8.168.153:8800/rtp/239.16.20.90:10900
山西卫视,http://171.8.168.153:8800/rtp/239.16.10.24:2000
嵩县综合新闻,http://171.8.168.153:8800/rtp/239.16.20.234:12340
巩义综合,http://171.8.168.153:8800/rtp/239.16.20.43:10430
巩义综合,http://171.8.168.153:8800/rtp/239.16.10.33:2000
平桥广电中心,http://171.8.168.153:8800/rtp/239.16.10.73:2000
平煤安全环保,http://171.8.168.153:8800/rtp/239.16.20.31:10310
平煤安全环保,http://171.8.168.153:8800/rtp/239.16.20.244:12440
平煤综合,http://171.8.168.153:8800/rtp/239.16.20.30:10300
平煤综合,http://171.8.168.153:8800/rtp/239.16.20.241:12410
平顶山公共频道,http://171.8.168.153:8800/rtp/239.16.20.152:11520
平顶山城市频道,http://171.8.168.153:8800/rtp/239.16.20.151:11510
平顶山教育台,http://171.8.168.153:8800/rtp/239.16.20.27:10270
平顶山新闻综合,http://171.8.168.153:8800/rtp/239.16.20.137:11370
广东卫视,http://171.8.168.153:8800/rtp/239.16.20.98:10980
广东卫视,http://171.8.168.153:8800/rtp/239.16.10.104:2000
广东嘉佳卡通,http://171.8.168.153:8800/rtp/239.16.20.107:11070
广西卫视,http://171.8.168.153:8800/rtp/239.16.20.84:10840
广西卫视,http://171.8.168.153:8800/rtp/239.16.10.18:2000
延津电视台,http://171.8.168.153:8800/rtp/239.16.20.210:12100
开封1新闻综合,http://171.8.168.153:8800/rtp/239.16.10.57:2000
开封2文化旅游,http://171.8.168.153:8800/rtp/239.16.10.177:2000
摄影频道,http://171.8.168.153:8800/rtp/239.16.20.125:11250
新乡公共,http://171.8.168.153:8800/rtp/239.16.20.154:11540
新乡县综合,http://171.8.168.153:8800/rtp/239.16.20.18:10180
新乡新闻综合,http://171.8.168.153:8800/rtp/239.16.20.139:11390
新县综合,http://171.8.168.153:8800/rtp/239.16.20.183:11830
新县综合,http://171.8.168.153:8800/rtp/239.16.10.166:2000
新密综合频道,http://171.8.168.153:8800/rtp/239.16.20.41:10410
新密综合频道,http://171.8.168.153:8800/rtp/239.16.10.31:2000
新疆卫视,http://171.8.168.153:8800/rtp/239.16.20.93:10930
新疆卫视,http://171.8.168.153:8800/rtp/239.16.10.27:2000
新蔡TV,http://171.8.168.153:8800/rtp/239.16.20.49:10490
新蔡TV,http://171.8.168.153:8800/rtp/239.16.10.45:2000
新郑TV-1,http://171.8.168.153:8800/rtp/239.16.20.45:10450
新郑TV-1,http://171.8.168.153:8800/rtp/239.16.10.35:2000
未知,http://171.8.168.153:8800/rtp/239.16.10.191:2000
未知,http://171.8.168.153:8800/rtp/239.16.10.193:2000
杞县新闻综合,http://171.8.168.153:8800/rtp/239.16.10.80:2000
棋牌汇,http://171.8.168.153:8800/rtp/239.16.20.118:11180
棋牌汇,http://171.8.168.153:8800/rtp/239.16.10.186:2000
永城新闻联播,http://171.8.168.153:8800/rtp/239.16.10.93:2000
汝阳综合频道,http://171.8.168.153:8800/rtp/239.16.20.207:12070
江苏优漫卡通,http://171.8.168.153:8800/rtp/239.16.20.103:11030
江苏卫视,http://171.8.168.153:8800/rtp/239.16.20.74:10740
江苏卫视,http://171.8.168.153:8800/rtp/239.16.10.8:2000
江苏财富天下 720,http://171.8.168.153:8800/rtp/239.16.20.129:11290
江西卫视,http://171.8.168.153:8800/rtp/239.16.20.89:10890
江西卫视,http://171.8.168.153:8800/rtp/239.16.10.23:2000
江西陶瓷,http://171.8.168.153:8800/rtp/239.16.20.124:11240
江西陶瓷,http://171.8.168.153:8800/rtp/239.16.20.214:12140
江西风尚购物,http://171.8.168.153:8800/rtp/239.16.20.202:12020
河北卫视,http://171.8.168.153:8800/rtp/239.16.20.88:10880
河北卫视,http://171.8.168.153:8800/rtp/239.16.10.22:2000
河南4K实验 6M2160,http://171.8.168.153:8800/rtp/239.16.10.210:2000
河南IPTV导视,http://171.8.168.153:8800/rtp/239.16.10.218:2000
河南乡村频道,http://171.8.168.153:8800/rtp/239.16.20.195:11950
河南乡村频道,http://171.8.168.153:8800/rtp/239.16.10.181:2000
河南公共频道,http://171.8.168.153:8800/rtp/239.16.20.170:11700
河南公共频道,http://171.8.168.153:8800/rtp/239.16.10.126:2000
河南功夫,http://171.8.168.153:8800/rtp/239.16.10.150:2000
河南卫视,http://171.8.168.153:8800/rtp/239.16.20.21:10210
河南卫视,http://171.8.168.153:8800/rtp/239.16.10.119:2000
河南卫视4K测试 6M1080,http://171.8.168.153:8800/rtp/239.16.20.199:11990
河南国际频道,http://171.8.168.153:8800/rtp/239.16.20.196:11960
河南国际频道,http://171.8.168.153:8800/rtp/239.16.10.182:2000
河南戏曲,http://171.8.168.153:8800/rtp/239.16.10.148:2000
河南文博,http://171.8.168.153:8800/rtp/239.16.10.149:2000
河南文物宝库,http://171.8.168.153:8800/rtp/239.16.20.172:11720
河南新闻频道,http://171.8.168.153:8800/rtp/239.16.20.168:11680
河南新闻频道,http://171.8.168.153:8800/rtp/239.16.10.124:2000
河南梨园频道,http://171.8.168.153:8800/rtp/239.16.20.171:11710
河南欢腾购物,http://171.8.168.153:8800/rtp/239.16.20.169:11690
河南欢腾购物,http://171.8.168.153:8800/rtp/239.16.10.125:2000
河南欢腾购物,http://171.8.168.153:8800/rtp/239.16.10.216:2000
河南欢腾购物 8M1440,http://171.8.168.153:8800/rtp/239.16.20.231:12310
河南欢腾购物 8M1440,http://171.8.168.153:8800/rtp/239.16.20.233:12330
河南武术世界,http://171.8.168.153:8800/rtp/239.16.20.173:11730
河南民生频道,http://171.8.168.153:8800/rtp/239.16.20.165:11650
河南民生频道,http://171.8.168.153:8800/rtp/239.16.10.121:2000
河南法治频道,http://171.8.168.153:8800/rtp/239.16.20.166:11660
河南法治频道,http://171.8.168.153:8800/rtp/239.16.10.122:2000
河南电视剧频道,http://171.8.168.153:8800/rtp/239.16.20.167:11670
河南电视剧频道,http://171.8.168.153:8800/rtp/239.16.10.123:2000
河南睛彩中原,http://171.8.168.153:8800/rtp/239.16.20.122:11220
河南睛彩中原,http://171.8.168.153:8800/rtp/239.16.10.78:2000
河南移动戏曲,http://171.8.168.153:8800/rtp/239.16.20.120:11200
河南移动戏曲,http://171.8.168.153:8800/rtp/239.16.10.76:2000
河南移动电视,http://171.8.168.153:8800/rtp/239.16.20.204:12040
河南移动电视,http://171.8.168.153:8800/rtp/239.16.10.79:2000
河南调解剧场,http://171.8.168.153:8800/rtp/239.16.20.197:11970
河南都市频道,http://171.8.168.153:8800/rtp/239.16.20.164:11640
河南都市频道,http://171.8.168.153:8800/rtp/239.16.10.120:2000
洛阳-1新闻综合,http://171.8.168.153:8800/rtp/239.16.20.179:11790
洛阳-2 科教频道,http://171.8.168.153:8800/rtp/239.16.20.177:11770
洛阳-3文旅频道,http://171.8.168.153:8800/rtp/239.16.20.178:11780
浉河广电中心,http://171.8.168.153:8800/rtp/239.16.10.72:2000
济源-1,http://171.8.168.153:8800/rtp/239.16.20.174:11740
浙江卫视,http://171.8.168.153:8800/rtp/239.16.20.71:10710
浙江卫视,http://171.8.168.153:8800/rtp/239.16.10.5:2000
海南卫视,http://171.8.168.153:8800/rtp/239.16.20.97:10970
海南卫视,http://171.8.168.153:8800/rtp/239.16.10.43:2000
淅川电视台-1,http://171.8.168.153:8800/rtp/239.16.20.48:10480
淅川电视台-1,http://171.8.168.153:8800/rtp/239.16.10.38:2000
淇县电视台,http://171.8.168.153:8800/rtp/239.16.20.205:12050
深圳卫视,http://171.8.168.153:8800/rtp/239.16.20.77:10770
深圳卫视,http://171.8.168.153:8800/rtp/239.16.10.11:2000
渑池新闻综合,http://171.8.168.153:8800/rtp/239.16.20.47:10470
渑池新闻综合,http://171.8.168.153:8800/rtp/239.16.20.135:11350
湖北卫视,http://171.8.168.153:8800/rtp/239.16.20.87:10870
湖北卫视,http://171.8.168.153:8800/rtp/239.16.10.21:2000
湖南先锋乒羽 720,http://171.8.168.153:8800/rtp/239.16.20.69:10690
湖南卫视,http://171.8.168.153:8800/rtp/239.16.20.72:10720
湖南卫视,http://171.8.168.153:8800/rtp/239.16.10.6:2000
湖南快乐垂钓,http://171.8.168.153:8800/rtp/239.16.20.67:10670
湖南茶频道,http://171.8.168.153:8800/rtp/239.16.20.68:10680
湖南金鹰卡通,http://171.8.168.153:8800/rtp/239.16.20.104:11040
湖南金鹰纪实,http://171.8.168.153:8800/rtp/239.16.20.153:11530
漯河新闻综合,http://171.8.168.153:8800/rtp/239.16.10.49:2000
濮阳公共,http://171.8.168.153:8800/rtp/239.16.20.184:11840
濮阳新闻综合,http://171.8.168.153:8800/rtp/239.16.20.175:11750
灵宝综合频道,http://171.8.168.153:8800/rtp/239.16.20.59:10590
焦作公共,http://171.8.168.153:8800/rtp/239.16.20.155:11550
焦作教育,http://171.8.168.153:8800/rtp/239.16.20.157:11570
焦作综合,http://171.8.168.153:8800/rtp/239.16.20.140:11400
环球旅游,http://171.8.168.153:8800/rtp/239.16.20.131:11310
甘肃卫视,http://171.8.168.153:8800/rtp/239.16.20.102:11020
甘肃卫视,http://171.8.168.153:8800/rtp/239.16.10.114:2000
登封综合,http://171.8.168.153:8800/rtp/239.16.20.42:10420
登封综合,http://171.8.168.153:8800/rtp/239.16.10.32:2000
百姓调解,http://171.8.168.153:8800/rtp/239.16.10.183:2000
百视通4K,http://171.8.168.153:8800/rtp/239.16.20.158:11580
百视通4K,http://171.8.168.153:8800/rtp/239.16.20.254:12540
百视通4K测试,http://171.8.168.153:8800/rtp/239.16.20.223:12230
百视通4K测试,http://171.8.168.153:8800/rtp/239.16.20.225:12250
百视通4K测试,http://171.8.168.153:8800/rtp/239.16.20.249:12490
禹州电视台,http://171.8.168.153:8800/rtp/239.16.10.39:2000
纪实人文,http://171.8.168.153:8800/rtp/239.16.10.190:2000
美食汇,http://171.8.168.153:8800/rtp/239.16.20.117:11170
美食汇,http://171.8.168.153:8800/rtp/239.16.10.185:2000
聚鲨环球精选,http://171.8.168.153:8800/rtp/239.16.20.201:12010
聚鲨环球精选,http://171.8.168.153:8800/rtp/239.16.10.206:2000
舞钢电视台-1,http://171.8.168.153:8800/rtp/239.16.20.227:12270
舞阳新闻综合,http://171.8.168.153:8800/rtp/239.16.10.179:2000
荥阳综合频道,http://171.8.168.153:8800/rtp/239.16.20.44:10440
荥阳综合频道,http://171.8.168.153:8800/rtp/239.16.10.34:2000
获嘉综合,http://171.8.168.153:8800/rtp/239.16.20.25:10250
西平电视台-1,http://171.8.168.153:8800/rtp/239.16.10.41:2000
西藏卫视,http://171.8.168.153:8800/rtp/239.16.20.100:11000
西藏卫视,http://171.8.168.153:8800/rtp/239.16.10.106:2000
许昌公共,http://171.8.168.153:8800/rtp/239.16.10.61:2000
许昌农业科教,http://171.8.168.153:8800/rtp/239.16.10.60:2000
许昌综合,http://171.8.168.153:8800/rtp/239.16.10.47:2000
贵州卫视,http://171.8.168.153:8800/rtp/239.16.20.81:10810
贵州卫视,http://171.8.168.153:8800/rtp/239.16.10.15:2000
车迷频道,http://171.8.168.153:8800/rtp/239.16.20.134:11340
辽宁卫视,http://171.8.168.153:8800/rtp/239.16.20.95:10950
辽宁卫视,http://171.8.168.153:8800/rtp/239.16.10.29:2000
通许综合,http://171.8.168.153:8800/rtp/239.16.20.198:11980
邓州综合,http://171.8.168.153:8800/rtp/239.16.20.20:10200
郏县综合,http://171.8.168.153:8800/rtp/239.16.20.235:12350
郑州1新闻综合,http://171.8.168.153:8800/rtp/239.16.10.154:2000
郑州2商都频道,http://171.8.168.153:8800/rtp/239.16.10.155:2000
郑州3文体频道,http://171.8.168.153:8800/rtp/239.16.10.156:2000
郑州4影视戏曲,http://171.8.168.153:8800/rtp/239.16.10.157:2000
郑州5妇女儿童,http://171.8.168.153:8800/rtp/239.16.10.158:2000
郑州6都市生活,http://171.8.168.153:8800/rtp/239.16.10.159:2000
郸城,http://171.8.168.153:8800/rtp/239.16.10.84:2000
重庆卫视,http://171.8.168.153:8800/rtp/239.16.20.79:10790
重庆卫视,http://171.8.168.153:8800/rtp/239.16.10.13:2000
金鹰卡通,http://171.8.168.153:8800/rtp/239.16.10.115:2000
镇平新闻综合,http://171.8.168.153:8800/rtp/239.16.20.50:10500
镇平新闻综合,http://171.8.168.153:8800/rtp/239.16.10.46:2000
陕西卫视,http://171.8.168.153:8800/rtp/239.16.20.83:10830
陕西卫视,http://171.8.168.153:8800/rtp/239.16.10.17:2000
青海卫视,http://171.8.168.153:8800/rtp/239.16.20.101:11010
青海卫视,http://171.8.168.153:8800/rtp/239.16.10.107:2000
项城电视台,http://171.8.168.153:8800/rtp/239.16.10.214:2000
风尚购物,http://171.8.168.153:8800/rtp/239.16.10.207:2000
驻马店1新闻综合频道,http://171.8.168.153:8800/rtp/239.16.10.170:2000
驻马店2公共频道,http://171.8.168.153:8800/rtp/239.16.10.54:2000
驻马店3科教频道,http://171.8.168.153:8800/rtp/239.16.10.171:2000
鹤壁新闻综合,http://171.8.168.153:8800/rtp/239.16.20.142:11420
黑龙江卫视,http://171.8.168.153:8800/rtp/239.16.20.99:10990
黑龙江卫视,http://171.8.168.153:8800/rtp/239.16.10.105:2000

河南联通,#genre#
BRTV纪实科教,http://42.224.199.112:8090/rtp/225.1.5.74:1384
BRTV纪实科教,http://42.232.114.192:4022/rtp/225.1.5.74:1384
BRTV纪实科教,http://222.141.133.101:8888/rtp/225.1.5.74:1384
CCTV-1,http://42.224.199.112:8090/rtp/225.1.4.1:1030
CCTV-1,http://42.232.114.192:4022/rtp/225.1.4.1:1030
CCTV-1,http://222.141.133.101:8888/rtp/225.1.4.1:1030
CCTV-10,http://42.224.199.112:8090/rtp/225.1.4.10:1039
CCTV-10,http://42.232.114.192:4022/rtp/225.1.4.10:1039
CCTV-10,http://222.141.133.101:8888/rtp/225.1.4.10:1039
CCTV-10高清,http://42.224.199.112:8090/rtp/225.1.4.78:1107
CCTV-10高清,http://42.232.114.192:4022/rtp/225.1.4.78:1107
CCTV-10高清,http://222.141.133.101:8888/rtp/225.1.4.78:1107
CCTV-11,http://42.224.199.112:8090/rtp/225.1.4.11:1040
CCTV-11,http://42.232.114.192:4022/rtp/225.1.4.11:1040
CCTV-11,http://222.141.133.101:8888/rtp/225.1.4.11:1040
CCTV-11高清,http://42.224.199.112:8090/rtp/225.1.4.215:1268
CCTV-11高清,http://42.232.114.192:4022/rtp/225.1.4.215:1268
CCTV-11高清,http://222.141.133.101:8888/rtp/225.1.4.215:1268
CCTV-12,http://42.224.199.112:8090/rtp/225.1.4.12:1041
CCTV-12,http://42.232.114.192:4022/rtp/225.1.4.12:1041
CCTV-12,http://222.141.133.101:8888/rtp/225.1.4.12:1041
CCTV-12高清,http://42.224.199.112:8090/rtp/225.1.4.79:1108
CCTV-12高清,http://42.232.114.192:4022/rtp/225.1.4.79:1108
CCTV-12高清,http://222.141.133.101:8888/rtp/225.1.4.79:1108
CCTV-13,http://42.224.199.112:8090/rtp/225.1.4.13:1042
CCTV-13,http://42.232.114.192:4022/rtp/225.1.4.13:1042
CCTV-13,http://222.141.133.101:8888/rtp/225.1.4.13:1042
CCTV-13高清,http://42.224.199.112:8090/rtp/225.1.4.113:1293
CCTV-13高清,http://42.232.114.192:4022/rtp/225.1.4.113:1293
CCTV-13高清,http://222.141.133.101:8888/rtp/225.1.4.113:1293
CCTV-14,http://42.224.199.112:8090/rtp/225.1.4.14:1043
CCTV-14,http://42.232.114.192:4022/rtp/225.1.4.14:1043
CCTV-14,http://222.141.133.101:8888/rtp/225.1.4.14:1043
CCTV-14高清,http://42.224.199.112:8090/rtp/225.1.4.80:1109
CCTV-14高清,http://42.232.114.192:4022/rtp/225.1.4.80:1109
CCTV-14高清,http://222.141.133.101:8888/rtp/225.1.4.80:1109
CCTV-15,http://42.224.199.112:8090/rtp/225.1.4.15:1044
CCTV-15,http://42.232.114.192:4022/rtp/225.1.4.15:1044
CCTV-15,http://222.141.133.101:8888/rtp/225.1.4.15:1044
CCTV-15高清,http://42.224.199.112:8090/rtp/225.1.4.216:1269
CCTV-15高清,http://42.232.114.192:4022/rtp/225.1.4.216:1269
CCTV-15高清,http://222.141.133.101:8888/rtp/225.1.4.216:1269
CCTV-16高清,http://42.224.199.112:8090/rtp/225.1.5.46:1356
CCTV-16高清,http://42.232.114.192:4022/rtp/225.1.5.46:1356
CCTV-16高清,http://222.141.133.101:8888/rtp/225.1.5.46:1356
CCTV-17,http://42.224.199.112:8090/rtp/225.1.4.227:2507
CCTV-17,http://42.232.114.192:4022/rtp/225.1.4.227:2507
CCTV-17,http://222.141.133.101:8888/rtp/225.1.4.227:2507
CCTV-17高清,http://42.224.199.112:8090/rtp/225.1.4.226:2506
CCTV-17高清,http://42.232.114.192:4022/rtp/225.1.4.226:2506
CCTV-17高清,http://222.141.133.101:8888/rtp/225.1.4.226:2506
CCTV-1高清,http://42.224.199.112:8090/rtp/225.1.4.73:1102
CCTV-1高清,http://42.232.114.192:4022/rtp/225.1.4.73:1102
CCTV-1高清,http://222.141.133.101:8888/rtp/225.1.4.73:1102
CCTV-2,http://42.224.199.112:8090/rtp/225.1.4.2:1031
CCTV-2,http://42.232.114.192:4022/rtp/225.1.4.2:1031
CCTV-2,http://222.141.133.101:8888/rtp/225.1.4.2:1031
CCTV-2高清,http://42.224.199.112:8090/rtp/225.1.4.74:1103
CCTV-2高清,http://42.232.114.192:4022/rtp/225.1.4.74:1103
CCTV-2高清,http://222.141.133.101:8888/rtp/225.1.4.74:1103
CCTV-3高清,http://42.224.199.112:8090/rtp/225.1.4.158:1194
CCTV-3高清,http://42.232.114.192:4022/rtp/225.1.4.158:1194
CCTV-3高清,http://222.141.133.101:8888/rtp/225.1.4.158:1194
CCTV-4,http://42.224.199.112:8090/rtp/225.1.4.4:1033
CCTV-4,http://42.232.114.192:4022/rtp/225.1.4.4:1033
CCTV-4,http://222.141.133.101:8888/rtp/225.1.4.4:1033
CCTV-4高清,http://42.224.199.112:8090/rtp/225.1.5.30:1333
CCTV-4高清,http://42.232.114.192:4022/rtp/225.1.5.30:1333
CCTV-4高清,http://222.141.133.101:8888/rtp/225.1.5.30:1333
CCTV-5高清,http://42.224.199.112:8090/rtp/225.1.4.159:1195
CCTV-5高清,http://42.232.114.192:4022/rtp/225.1.4.159:1195
CCTV-5高清,http://222.141.133.101:8888/rtp/225.1.4.159:1195
CCTV-5＋高清,http://42.224.199.112:8090/rtp/225.1.4.75:1104
CCTV-5＋高清,http://42.232.114.192:4022/rtp/225.1.4.75:1104
CCTV-5＋高清,http://222.141.133.101:8888/rtp/225.1.4.75:1104
CCTV-6高清,http://42.224.199.112:8090/rtp/225.1.4.160:1196
CCTV-6高清,http://42.232.114.192:4022/rtp/225.1.4.160:1196
CCTV-6高清,http://222.141.133.101:8888/rtp/225.1.4.160:1196
CCTV-7,http://42.224.199.112:8090/rtp/225.1.4.7:1036
CCTV-7,http://42.232.114.192:4022/rtp/225.1.4.7:1036
CCTV-7,http://222.141.133.101:8888/rtp/225.1.4.7:1036
CCTV-7高清,http://42.224.199.112:8090/rtp/225.1.4.76:1105
CCTV-7高清,http://42.232.114.192:4022/rtp/225.1.4.76:1105
CCTV-7高清,http://222.141.133.101:8888/rtp/225.1.4.76:1105
CCTV-8高清,http://42.224.199.112:8090/rtp/225.1.4.161:1197
CCTV-8高清,http://42.232.114.192:4022/rtp/225.1.4.161:1197
CCTV-8高清,http://222.141.133.101:8888/rtp/225.1.4.161:1197
CCTV-9,http://42.224.199.112:8090/rtp/225.1.4.9:1038
CCTV-9,http://42.232.114.192:4022/rtp/225.1.4.9:1038
CCTV-9,http://222.141.133.101:8888/rtp/225.1.4.9:1038
CCTV-9高清,http://42.224.199.112:8090/rtp/225.1.4.77:1106
CCTV-9高清,http://42.232.114.192:4022/rtp/225.1.4.77:1106
CCTV-9高清,http://222.141.133.101:8888/rtp/225.1.4.77:1106
CCTV4中文国际欧洲,http://42.224.199.112:8090/rtp/225.1.5.31:1342
CCTV4中文国际欧洲,http://42.232.114.192:4022/rtp/225.1.5.31:1342
CCTV4中文国际欧洲,http://222.141.133.101:8888/rtp/225.1.5.31:1342
CCTV4中文国际美洲,http://42.224.199.112:8090/rtp/225.1.5.32:1343
CCTV4中文国际美洲,http://42.232.114.192:4022/rtp/225.1.5.32:1343
CCTV4中文国际美洲,http://222.141.133.101:8888/rtp/225.1.5.32:1343
CGTN,http://42.224.199.112:8090/rtp/225.1.4.16:1045
